,Protein ID,Gene names
305,P12111,COL6A3
306,P12273,PIP
307,P12318,FCGR2A
308,P12814,ACTN1
309,P12955,PEPD
310,P13473,LAMP2
311,P13591,NCAM1
312,P13611,VCAN
313,P13639,EEF2
314,P13645,KRT10
315,P13671,C6
316,P13716,ALAD
317,P13727,PRG2
318,P13796,LCP1
319,P14151,SELL
320,P14209,CD99
321,P14543,NID1
322,P14618,PKM
323,P14625,HSP90B1
324,P14780,MMP9
325,P15144,ANPEP
326,P15169,CPN1
327,P16035,TIMP2
328,P16930,FAH
329,P17174,GOT1
330,P18206,VCL
331,P18428,LBP
332,P19022,CDH2
333,P19320,VCAM1
334,P19652,ORM2
335,P19823,ITIH2
336,P19827,ITIH1
337,P20742,PZP
338,P20774,OGN
339,P20851,C4BPB
340,P21333,FLNA
341,P22692-2,IGFBP4
342,P22792,CPN2
343,P22891,PROZ
344,P22897,MRC1
345,P23141,CES1
346,P23142,FBLN1
347,P23470,PTPRG
348,P23526,AHCY
349,P24298,GPT
350,P24592,IGFBP6
351,P24821,TNC
352,P25311,AZGP1
353,P25705,ATP5A1
354,P25786,PSMA1
355,P27169,PON1
356,P27487,DPP4
357,P27918,CFP
358,P28066,PSMA5
359,P29401,TKT
360,P29508,SERPINB3
361,P29622,SERPINA4
362,P29966,MARCKS
363,P30041,PRDX6
364,P30043,BLVRB
365,P30101,PDIA3
366,P32119,PRDX2
367,P32942,ICAM3
368,P33151,CDH5
369,P33908,MAN1A1
370,P34096,RNASE4
371,P35241,RDX
372,P35443,THBS4
373,P35527,KRT9
374,P35579,MYH9
375,P35858,IGFALS
376,P35908,KRT2
377,P36222,CHI3L1
378,P36955,SERPINF1
379,P37802,TAGLN2
380,P39060,COL18A1
381,P41222,PTGDS
382,P42126,ECI1
383,P43121,MCAM
384,P43251,BTD
385,P43652,AFM
386,P48740,MASP1
387,P48740-2,MASP1
388,P51884,LUM
389,P54802,NAGLU
390,P55056,APOC4
391,P55058,PLTP
392,P55103,INHBC
393,P55290,CDH13
394,P56199,ITGA1
395,P58166,INHBE
396,P60709,ACTB
397,P61769,B2M
398,P62258,YWHAE
399,P62328,TMSB4X
400,P62805,HIST1H4A
401,P62937,PPIA
402,P63104,YWHAZ
403,P67936,TPM4
404,P68104,EEF1A1
405,P68363,TUBA1B
406,P68871,HBB
407,P69905,HBA1
