,Protein ID,plasma,type_x,liver,type_y,Gene name,Genename_ProteinID
7930,P40227,4.87,plasma,5.83,liver,CCT6A,CCT6A__P40227
7931,E9PLK3,4.87,plasma,5.14,liver,NPEPPS,NPEPPS__E9PLK3
7932,P69905,4.87,plasma,7.95,liver,HBA2,HBA2__P69905
7933,P05543,4.87,plasma,3.43,liver,SERPINA7,SERPINA7__P05543
7934,P23142,4.87,plasma,5.02,liver,FBLN1,FBLN1__P23142
7935,P80108,4.87,plasma,4.86,liver,GPLD1,GPLD1__P80108
7936,P43251,4.87,plasma,4.77,liver,BTD,BTD__P43251
7937,P06276,4.87,plasma,4.57,liver,BCHE,BCHE__P06276
7938,P00488,4.87,plasma,4.59,liver,F13A1,F13A1__P00488
7939,P13671,4.87,plasma,4.98,liver,C6,C6__P13671
7940,P01742,4.87,plasma,5.31,liver,IGHV1-69,IGHV1-69__P01742
7941,P12111,4.87,plasma,6.35,liver,COL6A3,COL6A3__P12111
7942,P22626,4.87,plasma,6.3,liver,P22626,P22626__P22626
7943,Q14520,4.87,plasma,4.9,liver,HABP2,HABP2__Q14520
7944,P80108,4.87,plasma,4.56,liver,GPLD1,GPLD1__P80108
7945,P35858,4.87,plasma,5.01,liver,IGFALS,IGFALS__P35858
7946,P07996,4.87,plasma,5.95,liver,THBS1,THBS1__P07996
7947,A0A182DWH7,4.87,plasma,5.12,liver,SELENOP,SELENOP__A0A182DWH7
7948,E9PLK3,4.87,plasma,5.14,liver,NPEPPS,NPEPPS__E9PLK3
7949,P02766,4.87,plasma,5.77,liver,TTR,TTR__P02766
7950,P05154,4.87,plasma,4.63,liver,SERPINA5,SERPINA5__P05154
7951,P10643,4.87,plasma,4.27,liver,C7,C7__P10643
7952,P18428,4.87,plasma,3.36,liver,LBP,LBP__P18428
7953,P01721,4.87,plasma,5.6,liver,IGLV6-57,IGLV6-57__P01721
7954,P43251,4.87,plasma,4.68,liver,BTD,BTD__P43251
7955,P29622,4.87,plasma,4.69,liver,SERPINA4,SERPINA4__P29622
7956,A0A0C4DH31,4.87,plasma,4.74,liver,IGHV1-18,IGHV1-18__A0A0C4DH31
7957,P43251,4.87,plasma,5.03,liver,BTD,BTD__P43251
7958,E9PHK0,4.87,plasma,4.75,liver,CLEC3B,CLEC3B__E9PHK0
7959,P06276,4.87,plasma,4.85,liver,BCHE,BCHE__P06276
7960,P07358,4.87,plasma,4.36,liver,C8B,C8B__P07358
7961,P06310,4.87,plasma,5.13,liver,P06310,P06310__P06310
7962,Q8WUD1,4.87,plasma,4.01,liver,RAB2B,RAB2B__Q8WUD1
7963,P01721,4.87,plasma,5.41,liver,IGLV6-57,IGLV6-57__P01721
7964,P00488,4.87,plasma,4.88,liver,F13A1,F13A1__P00488
7965,P01742,4.87,plasma,5.31,liver,IGHV1-69,IGHV1-69__P01742
7966,P29622,4.87,plasma,4.52,liver,SERPINA4,SERPINA4__P29622
7967,H0YD13,4.87,plasma,5.06,liver,H0YD13,H0YD13__H0YD13
7968,Q14520,4.87,plasma,4.09,liver,HABP2,HABP2__Q14520
7969,A0A182DWH7,4.87,plasma,4.9,liver,SELENOP,SELENOP__A0A182DWH7
7970,A0A0B4J1Y9,4.87,plasma,5.32,liver,IGHV3-72,IGHV3-72__A0A0B4J1Y9
7971,P35858,4.87,plasma,4.95,liver,IGFALS,IGFALS__P35858
7972,P29622,4.88,plasma,4.79,liver,SERPINA4,SERPINA4__P29622
7973,O75882,4.88,plasma,4.35,liver,ATRN,ATRN__O75882
7974,P05543,4.88,plasma,4.41,liver,SERPINA7,SERPINA7__P05543
7975,P06276,4.88,plasma,4.7,liver,BCHE,BCHE__P06276
7976,P05543,4.88,plasma,3.64,liver,SERPINA7,SERPINA7__P05543
7977,P10643,4.88,plasma,3.93,liver,C7,C7__P10643
7978,P07358,4.88,plasma,4.91,liver,C8B,C8B__P07358
7979,P12111,4.88,plasma,6.36,liver,COL6A3,COL6A3__P12111
7980,P07237,4.88,plasma,7.04,liver,P07237,P07237__P07237
7981,E9PLK3,4.88,plasma,5.26,liver,NPEPPS,NPEPPS__E9PLK3
7982,Q06033,4.88,plasma,4.43,liver,ITIH3,ITIH3__Q06033
7983,A0A075B6S2,4.88,plasma,3.92,liver,IGKV2D-29,IGKV2D-29__A0A075B6S2
7984,P18428,4.88,plasma,4.35,liver,LBP,LBP__P18428
7985,P18428,4.88,plasma,3.42,liver,LBP,LBP__P18428
7986,P62241,4.88,plasma,5.83,liver,RPS8,RPS8__P62241
7987,P02741,4.88,plasma,5.09,liver,CRP,CRP__P02741
7988,A0A0B4J1Y9,4.88,plasma,5.5,liver,IGHV3-72,IGHV3-72__A0A0B4J1Y9
7989,P06276,4.88,plasma,4.7,liver,BCHE,BCHE__P06276
7990,P0DJI8,4.88,plasma,5.2,liver,SAA1,SAA1__P0DJI8
7991,A0A0B4J1Y9,4.88,plasma,6.01,liver,IGHV3-72,IGHV3-72__A0A0B4J1Y9
7992,P20742,4.88,plasma,4.93,liver,PZP,PZP__P20742
7993,Q96RL7,4.88,plasma,4.54,liver,VPS13A,VPS13A__Q96RL7
7994,P00488,4.88,plasma,4.55,liver,F13A1,F13A1__P00488
7995,Q14520,4.88,plasma,4.37,liver,HABP2,HABP2__Q14520
7996,A0A0C4DH24,4.88,plasma,4.65,liver,IGKV6-21,IGKV6-21__A0A0C4DH24
7997,P06276,4.88,plasma,4.61,liver,BCHE,BCHE__P06276
7998,P29622,4.88,plasma,4.76,liver,SERPINA4,SERPINA4__P29622
7999,P13671,4.88,plasma,4.83,liver,C6,C6__P13671
8000,Q03591,4.88,plasma,4.95,liver,Q03591,Q03591__Q03591
8001,P00488,4.88,plasma,5.09,liver,F13A1,F13A1__P00488
8002,P00488,4.88,plasma,4.31,liver,F13A1,F13A1__P00488
8003,P61626,4.88,plasma,5.57,liver,LYZ,LYZ__P61626
8004,B1AHL2,4.88,plasma,4.18,liver,FBLN1,FBLN1__B1AHL2
8005,P29622,4.88,plasma,4.72,liver,SERPINA4,SERPINA4__P29622
8006,A0A0B4J1Y9,4.88,plasma,5.4,liver,IGHV3-72,IGHV3-72__A0A0B4J1Y9
8007,P07358,4.88,plasma,4.84,liver,C8B,C8B__P07358
8008,P61626,4.88,plasma,5.47,liver,LYZ,LYZ__P61626
8009,P01721,4.88,plasma,5.35,liver,IGLV6-57,IGLV6-57__P01721
8010,P61626,4.88,plasma,5.37,liver,LYZ,LYZ__P61626
8011,P80108,4.88,plasma,4.79,liver,GPLD1,GPLD1__P80108
8012,Q13790,4.88,plasma,4.54,liver,APOF,APOF__Q13790
8013,A6XND0,4.88,plasma,4.79,liver,IGFBP3,IGFBP3__A6XND0
8014,P05543,4.88,plasma,3.36,liver,SERPINA7,SERPINA7__P05543
8015,E9PHK0,4.88,plasma,4.74,liver,CLEC3B,CLEC3B__E9PHK0
8016,P00488,4.88,plasma,4.95,liver,F13A1,F13A1__P00488
8017,P08519,4.88,plasma,5.09,liver,LPA,LPA__P08519
8018,P05543,4.88,plasma,3.51,liver,SERPINA7,SERPINA7__P05543
8019,P01742,4.88,plasma,6.14,liver,IGHV1-69,IGHV1-69__P01742
8020,P80108,4.88,plasma,4.54,liver,GPLD1,GPLD1__P80108
8021,P02042,4.88,plasma,7.23,liver,HBD,HBD__P02042
8022,P29622,4.88,plasma,4.63,liver,SERPINA4,SERPINA4__P29622
8023,P01721,4.88,plasma,5.18,liver,IGLV6-57,IGLV6-57__P01721
8024,P10809,4.88,plasma,6.85,liver,HSPD1,HSPD1__P10809
8025,E9PHK0,4.89,plasma,4.73,liver,CLEC3B,CLEC3B__E9PHK0
8026,P23142,4.89,plasma,5.28,liver,FBLN1,FBLN1__P23142
8027,P06276,4.89,plasma,5.21,liver,BCHE,BCHE__P06276
8028,P06310,4.89,plasma,4.87,liver,P06310,P06310__P06310
8029,A0A182DWH7,4.89,plasma,4.9,liver,SELENOP,SELENOP__A0A182DWH7
8030,P02766,4.89,plasma,5.87,liver,TTR,TTR__P02766
8031,P62495,4.89,plasma,4.97,liver,P62495,P62495__P62495
8032,E9PHK0,4.89,plasma,4.81,liver,CLEC3B,CLEC3B__E9PHK0
8033,E9PHK0,4.89,plasma,4.76,liver,CLEC3B,CLEC3B__E9PHK0
8034,P29622,4.89,plasma,4.83,liver,SERPINA4,SERPINA4__P29622
8035,Q06033,4.89,plasma,4.62,liver,ITIH3,ITIH3__Q06033
8036,P18428,4.89,plasma,3.7,liver,LBP,LBP__P18428
8037,Q15907,4.89,plasma,5.9,liver,Q15907,Q15907__Q15907
8038,O75882,4.89,plasma,4.45,liver,ATRN,ATRN__O75882
8039,P18428,4.89,plasma,4.44,liver,LBP,LBP__P18428
8040,P02766,4.89,plasma,5.63,liver,TTR,TTR__P02766
8041,Q14520,4.89,plasma,4.81,liver,HABP2,HABP2__Q14520
8042,Q06033,4.89,plasma,4.07,liver,ITIH3,ITIH3__Q06033
8043,Q15942,4.89,plasma,5.51,liver,ZYX,ZYX__Q15942
8044,A0A182DWH7,4.89,plasma,5.0,liver,SELENOP,SELENOP__A0A182DWH7
8045,P07358,4.89,plasma,4.7,liver,C8B,C8B__P07358
8046,P06681,4.89,plasma,4.71,liver,C2,C2__P06681
8047,P01721,4.89,plasma,5.78,liver,IGLV6-57,IGLV6-57__P01721
8048,P01714,4.89,plasma,4.83,liver,IGLV3-19,IGLV3-19__P01714
8049,P43251,4.89,plasma,4.62,liver,BTD,BTD__P43251
8050,A0A0A0MTS7,4.89,plasma,5.61,liver,TTN,TTN__A0A0A0MTS7
8051,Q06033,4.89,plasma,4.49,liver,ITIH3,ITIH3__Q06033
8052,Q03591,4.89,plasma,4.8,liver,Q03591,Q03591__Q03591
8053,P43251,4.89,plasma,4.69,liver,BTD,BTD__P43251
8054,P01721,4.89,plasma,5.73,liver,IGLV6-57,IGLV6-57__P01721
8055,P80108,4.89,plasma,4.25,liver,GPLD1,GPLD1__P80108
8056,P06310,4.89,plasma,5.14,liver,P06310,P06310__P06310
8057,P43251,4.89,plasma,4.76,liver,BTD,BTD__P43251
8058,P05543,4.89,plasma,4.38,liver,SERPINA7,SERPINA7__P05543
8059,P00488,4.89,plasma,4.2,liver,F13A1,F13A1__P00488
8060,A0A0A0MTS7,4.89,plasma,6.13,liver,TTN,TTN__A0A0A0MTS7
8061,P29622,4.89,plasma,4.83,liver,SERPINA4,SERPINA4__P29622
8062,P80108,4.89,plasma,4.34,liver,GPLD1,GPLD1__P80108
8063,A0A0B4J1V0,4.89,plasma,4.26,liver,IGHV3-15,IGHV3-15__A0A0B4J1V0
8064,P29622,4.89,plasma,4.86,liver,SERPINA4,SERPINA4__P29622
8065,P00739,4.89,plasma,3.95,liver,HPR,HPR__P00739
8066,E9PLK3,4.89,plasma,5.2,liver,NPEPPS,NPEPPS__E9PLK3
8067,Q8WUD1,4.89,plasma,4.41,liver,RAB2B,RAB2B__Q8WUD1
8068,O75882,4.89,plasma,3.69,liver,ATRN,ATRN__O75882
8069,Q08380,4.89,plasma,5.24,liver,LGALS3BP,LGALS3BP__Q08380
8070,E9PHK0,4.89,plasma,4.73,liver,CLEC3B,CLEC3B__E9PHK0
8071,Q14520,4.89,plasma,4.29,liver,HABP2,HABP2__Q14520
8072,P80108,4.89,plasma,4.36,liver,GPLD1,GPLD1__P80108
8073,P18428,4.89,plasma,3.83,liver,LBP,LBP__P18428
8074,P29622,4.89,plasma,4.87,liver,SERPINA4,SERPINA4__P29622
8075,Q15811,4.89,plasma,4.59,liver,Q15811,Q15811__Q15811
8076,P07358,4.89,plasma,4.72,liver,C8B,C8B__P07358
8077,E9PLK3,4.89,plasma,5.21,liver,NPEPPS,NPEPPS__E9PLK3
8078,Q16610,4.89,plasma,4.55,liver,ECM1,ECM1__Q16610
8079,A0A0C4DH31,4.89,plasma,4.77,liver,IGHV1-18,IGHV1-18__A0A0C4DH31
8080,P07358,4.89,plasma,4.61,liver,C8B,C8B__P07358
8081,P00488,4.89,plasma,4.42,liver,F13A1,F13A1__P00488
8082,E9PLK3,4.89,plasma,5.12,liver,NPEPPS,NPEPPS__E9PLK3
8083,P13671,4.89,plasma,4.87,liver,C6,C6__P13671
8084,E9PHK0,4.89,plasma,4.57,liver,CLEC3B,CLEC3B__E9PHK0
8085,E9PHK0,4.89,plasma,4.64,liver,CLEC3B,CLEC3B__E9PHK0
8086,P13671,4.9,plasma,5.48,liver,C6,C6__P13671
8087,P29622,4.9,plasma,4.68,liver,SERPINA4,SERPINA4__P29622
8088,P02766,4.9,plasma,5.64,liver,TTR,TTR__P02766
8089,A6XND0,4.9,plasma,4.76,liver,IGFBP3,IGFBP3__A6XND0
8090,P23142,4.9,plasma,5.1,liver,FBLN1,FBLN1__P23142
8091,A0A182DWH7,4.9,plasma,5.07,liver,SELENOP,SELENOP__A0A182DWH7
8092,P43251,4.9,plasma,4.7,liver,BTD,BTD__P43251
8093,P80108,4.9,plasma,4.34,liver,GPLD1,GPLD1__P80108
8094,Q03591,4.9,plasma,4.96,liver,Q03591,Q03591__Q03591
8095,Q16610,4.9,plasma,4.63,liver,ECM1,ECM1__Q16610
8096,P29622,4.9,plasma,4.76,liver,SERPINA4,SERPINA4__P29622
8097,P00488,4.9,plasma,4.36,liver,F13A1,F13A1__P00488
8098,P02766,4.9,plasma,5.72,liver,TTR,TTR__P02766
8099,P08519,4.9,plasma,5.24,liver,LPA,LPA__P08519
8100,A0A0U1RR20,4.9,plasma,4.87,liver,PRG4,PRG4__A0A0U1RR20
8101,P02766,4.9,plasma,5.77,liver,TTR,TTR__P02766
8102,P13671,4.9,plasma,4.96,liver,C6,C6__P13671
8103,P05783,4.9,plasma,7.31,liver,P05783,P05783__P05783
8104,P18428,4.9,plasma,3.93,liver,LBP,LBP__P18428
8105,P63241,4.9,plasma,5.87,liver,P63241,P63241__P63241
8106,Q15907,4.9,plasma,5.91,liver,Q15907,Q15907__Q15907
8107,A0A0C4DH31,4.9,plasma,4.7,liver,IGHV1-18,IGHV1-18__A0A0C4DH31
8108,A0A182DWH7,4.9,plasma,5.0,liver,SELENOP,SELENOP__A0A182DWH7
8109,P40227,4.9,plasma,5.86,liver,CCT6A,CCT6A__P40227
8110,Q06033,4.9,plasma,4.8,liver,ITIH3,ITIH3__Q06033
8111,P00742,4.9,plasma,4.04,liver,F10,F10__P00742
8112,P23142,4.9,plasma,5.05,liver,FBLN1,FBLN1__P23142
8113,A0A087X1J7,4.9,plasma,4.83,liver,GPX3,GPX3__A0A087X1J7
8114,P43251,4.9,plasma,4.64,liver,BTD,BTD__P43251
8115,P05543,4.9,plasma,4.35,liver,SERPINA7,SERPINA7__P05543
8116,Q03591,4.9,plasma,4.97,liver,Q03591,Q03591__Q03591
8117,P01721,4.9,plasma,5.54,liver,IGLV6-57,IGLV6-57__P01721
8118,P00488,4.9,plasma,4.55,liver,F13A1,F13A1__P00488
8119,P07358,4.9,plasma,4.68,liver,C8B,C8B__P07358
8120,P10643,4.9,plasma,4.08,liver,C7,C7__P10643
8121,A6XND0,4.9,plasma,4.08,liver,IGFBP3,IGFBP3__A6XND0
8122,P13671,4.9,plasma,4.89,liver,C6,C6__P13671
8123,O75882,4.9,plasma,4.3,liver,ATRN,ATRN__O75882
8124,Q15811,4.9,plasma,4.66,liver,Q15811,Q15811__Q15811
8125,O75882,4.9,plasma,4.05,liver,ATRN,ATRN__O75882
8126,Q15942,4.9,plasma,5.61,liver,ZYX,ZYX__Q15942
8127,P08519,4.9,plasma,5.1,liver,LPA,LPA__P08519
8128,P00488,4.9,plasma,4.69,liver,F13A1,F13A1__P00488
8129,P00742,4.9,plasma,4.1,liver,F10,F10__P00742
8130,P62495,4.9,plasma,4.93,liver,P62495,P62495__P62495
8131,A0A182DWH7,4.9,plasma,4.81,liver,SELENOP,SELENOP__A0A182DWH7
8132,P43251,4.9,plasma,4.95,liver,BTD,BTD__P43251
8133,P06276,4.9,plasma,4.66,liver,BCHE,BCHE__P06276
8134,A0A0B4J1Y9,4.9,plasma,5.61,liver,IGHV3-72,IGHV3-72__A0A0B4J1Y9
8135,P18428,4.9,plasma,4.59,liver,LBP,LBP__P18428
8136,E9PAQ1,4.9,plasma,4.63,liver,E9PAQ1,E9PAQ1__E9PAQ1
8137,A0A0B4J1Y9,4.9,plasma,5.55,liver,IGHV3-72,IGHV3-72__A0A0B4J1Y9
8138,P02775,4.9,plasma,4.85,liver,PPBP,PPBP__P02775
8139,E9PHK0,4.9,plasma,4.59,liver,CLEC3B,CLEC3B__E9PHK0
8140,E9PHK0,4.9,plasma,4.62,liver,CLEC3B,CLEC3B__E9PHK0
8141,P43251,4.9,plasma,4.71,liver,BTD,BTD__P43251
8142,P07195,4.9,plasma,5.41,liver,LDHB,LDHB__P07195
8143,P61626,4.9,plasma,5.27,liver,LYZ,LYZ__P61626
8144,P18428,4.9,plasma,4.43,liver,LBP,LBP__P18428
8145,P05543,4.9,plasma,3.63,liver,SERPINA7,SERPINA7__P05543
8146,P23142,4.9,plasma,4.92,liver,FBLN1,FBLN1__P23142
8147,P00740,4.9,plasma,5.17,liver,F9,F9__P00740
8148,O00187,4.9,plasma,4.79,liver,MASP2,MASP2__O00187
8149,P01714,4.9,plasma,4.9,liver,IGLV3-19,IGLV3-19__P01714
8150,P06276,4.9,plasma,5.21,liver,BCHE,BCHE__P06276
8151,P29622,4.9,plasma,4.71,liver,SERPINA4,SERPINA4__P29622
8152,P05543,4.9,plasma,3.39,liver,SERPINA7,SERPINA7__P05543
8153,Q06033,4.9,plasma,4.59,liver,ITIH3,ITIH3__Q06033
8154,A0A0B4J1Y9,4.9,plasma,5.94,liver,IGHV3-72,IGHV3-72__A0A0B4J1Y9
8155,P62495,4.9,plasma,4.94,liver,P62495,P62495__P62495
8156,P08709,4.91,plasma,4.48,liver,P08709,P08709__P08709
8157,P00740,4.91,plasma,5.06,liver,F9,F9__P00740
8158,E9PHK0,4.91,plasma,4.77,liver,CLEC3B,CLEC3B__E9PHK0
8159,P07358,4.91,plasma,4.66,liver,C8B,C8B__P07358
8160,P02766,4.91,plasma,5.58,liver,TTR,TTR__P02766
8161,P29622,4.91,plasma,4.84,liver,SERPINA4,SERPINA4__P29622
8162,P02775,4.91,plasma,4.56,liver,PPBP,PPBP__P02775
8163,P02750,4.91,plasma,4.76,liver,LRG1,LRG1__P02750
8164,A0A182DWH7,4.91,plasma,4.73,liver,SELENOP,SELENOP__A0A182DWH7
8165,Q06033,4.91,plasma,4.64,liver,ITIH3,ITIH3__Q06033
8166,P13645,4.91,plasma,5.41,liver,KRT10,KRT10__P13645
8167,P51812,4.91,plasma,4.48,liver,P51812,P51812__P51812
8168,P23142,4.91,plasma,4.96,liver,FBLN1,FBLN1__P23142
8169,P23142,4.91,plasma,5.25,liver,FBLN1,FBLN1__P23142
8170,Q8WUD1,4.91,plasma,4.36,liver,RAB2B,RAB2B__Q8WUD1
8171,P18428,4.91,plasma,3.69,liver,LBP,LBP__P18428
8172,P80108,4.91,plasma,4.71,liver,GPLD1,GPLD1__P80108
8173,E9PHK0,4.91,plasma,4.64,liver,CLEC3B,CLEC3B__E9PHK0
8174,P29622,4.91,plasma,4.79,liver,SERPINA4,SERPINA4__P29622
8175,O75882,4.91,plasma,4.15,liver,ATRN,ATRN__O75882
8176,P69905,4.91,plasma,7.41,liver,HBA2,HBA2__P69905
8177,A0A0C4DH31,4.91,plasma,4.77,liver,IGHV1-18,IGHV1-18__A0A0C4DH31
8178,P23528,4.91,plasma,6.33,liver,CFL1,CFL1__P23528
8179,O95445,4.91,plasma,5.54,liver,APOM,APOM__O95445
8180,Q12805,4.91,plasma,5.43,liver,Q12805,Q12805__Q12805
8181,A0A0C4DH31,4.91,plasma,4.71,liver,IGHV1-18,IGHV1-18__A0A0C4DH31
8182,H0YD13,4.91,plasma,4.96,liver,H0YD13,H0YD13__H0YD13
8183,A0A0C4DH31,4.91,plasma,4.89,liver,IGHV1-18,IGHV1-18__A0A0C4DH31
8184,A0A0C4DH31,4.91,plasma,5.19,liver,IGHV1-18,IGHV1-18__A0A0C4DH31
8185,P07900,4.91,plasma,6.64,liver,HSP90AA1,HSP90AA1__P07900
8186,P01714,4.91,plasma,4.85,liver,IGLV3-19,IGLV3-19__P01714
8187,P23142,4.91,plasma,5.22,liver,FBLN1,FBLN1__P23142
8188,P43251,4.91,plasma,4.68,liver,BTD,BTD__P43251
8189,P43251,4.91,plasma,4.51,liver,BTD,BTD__P43251
8190,P10643,4.91,plasma,4.16,liver,C7,C7__P10643
8191,P12111,4.91,plasma,6.27,liver,COL6A3,COL6A3__P12111
8192,P61626,4.91,plasma,5.65,liver,LYZ,LYZ__P61626
8193,A0A182DWH7,4.91,plasma,4.93,liver,SELENOP,SELENOP__A0A182DWH7
8194,P02766,4.91,plasma,5.63,liver,TTR,TTR__P02766
8195,Q8WUD1,4.91,plasma,3.86,liver,RAB2B,RAB2B__Q8WUD1
8196,P07358,4.91,plasma,4.86,liver,C8B,C8B__P07358
8197,Q15907,4.91,plasma,5.96,liver,Q15907,Q15907__Q15907
8198,Q15811,4.91,plasma,4.69,liver,Q15811,Q15811__Q15811
8199,E9PAQ1,4.91,plasma,4.77,liver,E9PAQ1,E9PAQ1__E9PAQ1
8200,Q06033,4.91,plasma,4.61,liver,ITIH3,ITIH3__Q06033
8201,Q06033,4.91,plasma,4.42,liver,ITIH3,ITIH3__Q06033
8202,P40227,4.91,plasma,5.82,liver,CCT6A,CCT6A__P40227
8203,P05783,4.91,plasma,7.27,liver,P05783,P05783__P05783
8204,P18428,4.91,plasma,3.75,liver,LBP,LBP__P18428
8205,E9PHK0,4.91,plasma,4.74,liver,CLEC3B,CLEC3B__E9PHK0
8206,P02776,4.91,plasma,4.96,liver,PF4,PF4__P02776
8207,P61626,4.91,plasma,5.66,liver,LYZ,LYZ__P61626
8208,P06276,4.91,plasma,4.62,liver,BCHE,BCHE__P06276
8209,Q08380,4.91,plasma,5.32,liver,LGALS3BP,LGALS3BP__Q08380
8210,P43251,4.91,plasma,4.72,liver,BTD,BTD__P43251
8211,P07358,4.91,plasma,4.65,liver,C8B,C8B__P07358
8212,A0A0C4DH31,4.91,plasma,5.09,liver,IGHV1-18,IGHV1-18__A0A0C4DH31
8213,P80108,4.91,plasma,4.74,liver,GPLD1,GPLD1__P80108
8214,K7ERG9,4.91,plasma,4.55,liver,CFD,CFD__K7ERG9
8215,O75882,4.91,plasma,4.17,liver,ATRN,ATRN__O75882
8216,P43251,4.91,plasma,4.78,liver,BTD,BTD__P43251
8217,P43251,4.91,plasma,4.81,liver,BTD,BTD__P43251
8218,P01833,4.91,plasma,3.61,liver,PIGR,PIGR__P01833
8219,Q14520,4.91,plasma,4.46,liver,HABP2,HABP2__Q14520
8220,A0A182DWH7,4.91,plasma,4.9,liver,SELENOP,SELENOP__A0A182DWH7
8221,P07358,4.91,plasma,4.57,liver,C8B,C8B__P07358
8222,P06276,4.91,plasma,5.09,liver,BCHE,BCHE__P06276
8223,P07358,4.91,plasma,4.8,liver,C8B,C8B__P07358
8224,P61626,4.91,plasma,5.39,liver,LYZ,LYZ__P61626
8225,P61626,4.91,plasma,5.28,liver,LYZ,LYZ__P61626
8226,A0A075B6R2,4.91,plasma,4.52,liver,IGHV4-4,IGHV4-4__A0A075B6R2
8227,E9PHK0,4.91,plasma,4.96,liver,CLEC3B,CLEC3B__E9PHK0
8228,P61626,4.91,plasma,5.28,liver,LYZ,LYZ__P61626
8229,P01742,4.91,plasma,5.0,liver,IGHV1-69,IGHV1-69__P01742
8230,P02775,4.92,plasma,4.51,liver,PPBP,PPBP__P02775
8231,A0A075B6S2,4.92,plasma,4.38,liver,IGKV2D-29,IGKV2D-29__A0A075B6S2
8232,P29622,4.92,plasma,4.87,liver,SERPINA4,SERPINA4__P29622
8233,P02775,4.92,plasma,4.71,liver,PPBP,PPBP__P02775
8234,E9PHK0,4.92,plasma,4.83,liver,CLEC3B,CLEC3B__E9PHK0
8235,A6XND0,4.92,plasma,4.53,liver,IGFBP3,IGFBP3__A6XND0
8236,A0A182DWH7,4.92,plasma,5.14,liver,SELENOP,SELENOP__A0A182DWH7
8237,P01742,4.92,plasma,5.32,liver,IGHV1-69,IGHV1-69__P01742
8238,P07358,4.92,plasma,4.76,liver,C8B,C8B__P07358
8239,P01714,4.92,plasma,4.82,liver,IGLV3-19,IGLV3-19__P01714
8240,F8W6I7,4.92,plasma,5.5,liver,HNRNPA1;HNRNPA1;HNRNPA1;HNRNPA1;HNRNPA1L2,HNRNPA1;HNRNPA1;HNRNPA1;HNRNPA1;HNRNPA1L2__F8W6I7
8241,P08519,4.92,plasma,5.34,liver,LPA,LPA__P08519
8242,Q15811,4.92,plasma,4.65,liver,Q15811,Q15811__Q15811
8243,P02766,4.92,plasma,5.74,liver,TTR,TTR__P02766
8244,P02766,4.92,plasma,5.7,liver,TTR,TTR__P02766
8245,P40227,4.92,plasma,5.85,liver,CCT6A,CCT6A__P40227
8246,P00740,4.92,plasma,5.19,liver,F9,F9__P00740
8247,P05062,4.92,plasma,7.67,liver,P05062,P05062__P05062
8248,P05543,4.92,plasma,3.35,liver,SERPINA7,SERPINA7__P05543
8249,Q15942,4.92,plasma,5.42,liver,ZYX,ZYX__Q15942
8250,Q13790,4.92,plasma,4.27,liver,APOF,APOF__Q13790
8251,A0A0B4J1Y9,4.92,plasma,4.42,liver,IGHV3-72,IGHV3-72__A0A0B4J1Y9
8252,E9PHK0,4.92,plasma,4.63,liver,CLEC3B,CLEC3B__E9PHK0
8253,P18428,4.92,plasma,3.69,liver,LBP,LBP__P18428
8254,Q08380,4.92,plasma,5.25,liver,LGALS3BP,LGALS3BP__Q08380
8255,P06310,4.92,plasma,4.75,liver,P06310,P06310__P06310
8256,O00187,4.92,plasma,4.52,liver,MASP2,MASP2__O00187
8257,P02766,4.92,plasma,5.79,liver,TTR,TTR__P02766
8258,Q13790,4.92,plasma,4.63,liver,APOF,APOF__Q13790
8259,P06310,4.92,plasma,5.08,liver,P06310,P06310__P06310
8260,P13671,4.92,plasma,4.57,liver,C6,C6__P13671
8261,E9PHK0,4.92,plasma,4.72,liver,CLEC3B,CLEC3B__E9PHK0
8262,Q14520,4.92,plasma,4.36,liver,HABP2,HABP2__Q14520
8263,O75882,4.92,plasma,3.53,liver,ATRN,ATRN__O75882
8264,A0A182DWH7,4.92,plasma,4.71,liver,SELENOP,SELENOP__A0A182DWH7
8265,O14791,4.92,plasma,4.57,liver,APOL1,APOL1__O14791
8266,P29622,4.92,plasma,4.75,liver,SERPINA4,SERPINA4__P29622
8267,A6XND0,4.92,plasma,4.61,liver,IGFBP3,IGFBP3__A6XND0
8268,Q96RL7,4.92,plasma,4.51,liver,VPS13A,VPS13A__Q96RL7
8269,P13671,4.92,plasma,4.86,liver,C6,C6__P13671
8270,P10643,4.92,plasma,4.02,liver,C7,C7__P10643
8271,P35579,4.92,plasma,6.34,liver,MYH9,MYH9__P35579
8272,Q15907,4.92,plasma,5.91,liver,Q15907,Q15907__Q15907
8273,P43251,4.92,plasma,4.75,liver,BTD,BTD__P43251
8274,P02766,4.92,plasma,5.69,liver,TTR,TTR__P02766
8275,P23142,4.92,plasma,5.19,liver,FBLN1,FBLN1__P23142
8276,P61626,4.92,plasma,5.26,liver,LYZ,LYZ__P61626
8277,P01742,4.92,plasma,5.28,liver,IGHV1-69,IGHV1-69__P01742
8278,P07358,4.92,plasma,4.77,liver,C8B,C8B__P07358
8279,A0A0A0MTS7,4.92,plasma,5.31,liver,TTN,TTN__A0A0A0MTS7
8280,P80108,4.92,plasma,4.47,liver,GPLD1,GPLD1__P80108
8281,O75882,4.92,plasma,4.52,liver,ATRN,ATRN__O75882
8282,E9PHK0,4.92,plasma,4.86,liver,CLEC3B,CLEC3B__E9PHK0
